"HMDB_accession","Med"
"HMDB0003429",0.0003
"HMDB0003458",0.00029
"HMDB0003464",0.034
"HMDB0003474",0.0036
"HMDB0003502",0.34
"HMDB0003503",6.2
"HMDB0003514",98
"HMDB0003550",NA
"HMDB0003555",0.0011
"HMDB0003572",1.38
"HMDB0003573",0.021
"HMDB0003584",0.33
"HMDB0003598",0.1025
"HMDB0003625",0.00518
"HMDB0003638",0.00318
"HMDB0003640",4.8
"HMDB0003642",0.345
"HMDB0003648",0.05605
"HMDB0003681",0.5
"HMDB0003733",0.0000454
"HMDB0003759",0.03605
"HMDB0003797",2.03
"HMDB0003871",0.00601
"HMDB0003876",0.00243
"HMDB0003911",1.03
"HMDB0003933",0.14
"HMDB0003966",0.69
"HMDB0003993",0.104
"HMDB0004030",0.001985
"HMDB0004031",0.00002
"HMDB0004044",0.0658
"HMDB0004063",0.0016
"HMDB0004068",5187.5
"HMDB0004080",2.99
"HMDB0004081",0.00024
"HMDB0004118",0.0038
"HMDB0004122",0.074
"HMDB0004136",2.56
"HMDB0004138",0.00024
"HMDB0004142",0.005
"HMDB0004148",0.0027
"HMDB0004193",9
"HMDB0004194",0.26
"HMDB0004225",0.145
"HMDB0004236",0.000446
"HMDB0004238",0.0003
"HMDB0004240",0.000188
"HMDB0004242",0.0028
"HMDB0004243",0.00145
"HMDB0004244",0.00106
"HMDB0004259",0.000065
"HMDB0004264",0.000134
"HMDB0004305",0.25
"HMDB0004327",0.08
"HMDB0004350",0.0031
"HMDB0004362",0.11
"HMDB0004363",0.04
"HMDB0004385",0.00007
"HMDB0004620",0.6669
"HMDB0004628",0.0594
"HMDB0004629",0.00058
"HMDB0004659",0.00047
"HMDB0004666",7.8
"HMDB0004667",0.05275
"HMDB0004668",0.00482
"HMDB0004669",0.00241
"HMDB0004670",0.010325
"HMDB0004673",0.000303
"HMDB0004679",0.000536
"HMDB0004680",0.000277
"HMDB0004682",0.000727
"HMDB0004684",0.0001
"HMDB0004685",0.0001975
"HMDB0004688",0.000114
"HMDB0004693",0.001106
"HMDB0004701",0.00217
"HMDB0004702",0.00721
"HMDB0004704",0.0605
"HMDB0004705",0.006755
"HMDB0004708",0.000827
"HMDB0004710",0.000513
"HMDB0004814",0.03
"HMDB0004821",0.003
"HMDB0004824",0.029
"HMDB0004825",0.001675
"HMDB0004826",0.00034
"HMDB0004827",10
"HMDB0004844",4.5
"HMDB0004849",0.567
"HMDB0004866",5
"HMDB0004877",2.05
"HMDB0004878",1.7
"HMDB0004880",2
"HMDB0004882",2
"HMDB0004884",2
"HMDB0004886",2
"HMDB0004947",0.1365
"HMDB0004948",0.1365
"HMDB0004949",0.1365
"HMDB0004950",0.1365
"HMDB0004951",0.1365
"HMDB0004952",0.1365
"HMDB0004953",1
"HMDB0004955",0.061
"HMDB0004956",0.1365
"HMDB0004957",0.1365
"HMDB0004958",2.15
"HMDB0004969",3.6
"HMDB0004983",5.15
"HMDB0004988",0.073
"HMDB0004989",0.000038
"HMDB0004995",0.006
"HMDB0004999",0.0024
"HMDB0005000",1.02
"HMDB0005006",0.01
"HMDB0005007",0.044
"HMDB0005010",0.15
"HMDB0005014",0.0257
"HMDB0005015",0.31
"HMDB0005016",2
"HMDB0005017",10
"HMDB0005034",1.47
"HMDB0005045",0.000429
"HMDB0005047",19.3
"HMDB0005049",0.079
"HMDB0005056",0.00145
"HMDB0005060",7.7455
"HMDB0005065",0.17
"HMDB0005066",0.03
"HMDB0005073",0.000079
"HMDB0005079",0.000206
"HMDB0005081",0.0007665
"HMDB0005083",0.00038
"HMDB0005087",0.0001665
"HMDB0005088",0.0001585
"HMDB0005095",0.000009
"HMDB0005096",1.09
"HMDB0005099",0.000017
"HMDB0005102",0.00001
"HMDB0005176",0.01635
"HMDB0005189",44.23
"HMDB0005193",0.053
"HMDB0005199",0.00131
"HMDB0005357",11.6
"HMDB0005359",27
"HMDB0005360",63.6
"HMDB0005361",29.6
"HMDB0005362",79.8
"HMDB0005363",90.9
"HMDB0005367",29.6
"HMDB0005369",139.5
"HMDB0005370",68.5
"HMDB0005374",63.6
"HMDB0005375",29.6
"HMDB0005376",20.2
"HMDB0005377",79.8
"HMDB0005378",139.5
"HMDB0005379",57.1
"HMDB0005380",32
"HMDB0005382",139.5
"HMDB0005383",21.5
"HMDB0005384",214.8
"HMDB0005385",53.6
"HMDB0005388",21.5
"HMDB0005389",69.1
"HMDB0005390",90.9
"HMDB0005391",36.5
"HMDB0005397",21.5
"HMDB0005403",21.5
"HMDB0005405",69.1
"HMDB0005411",68.5
"HMDB0005412",23.5
"HMDB0005419",0.01
"HMDB0005421",29.6
"HMDB0005423",139.5
"HMDB0005424",21.5
"HMDB0005425",214.8
"HMDB0005426",53.6
"HMDB0005430",79.8
"HMDB0005431",139.5
"HMDB0005433",57.1
"HMDB0005434",214.8
"HMDB0005435",18.9
"HMDB0005437",21.5
"HMDB0005438",214.8
"HMDB0005439",69.1
"HMDB0005440",90.9
"HMDB0005441",36.5
"HMDB0005443",23.5
"HMDB0005444",69.1
"HMDB0005445",68.5
"HMDB0005446",32
"HMDB0005455",68.5
"HMDB0005456",23.5
"HMDB0005461",53.6
"HMDB0005474",36.5
"HMDB0005770",0.56
"HMDB0005781",0.00045
"HMDB0005782",0.35
"HMDB0005784",0.16
"HMDB0005789",16
"HMDB0005792",0.54
"HMDB0005794",0.045
"HMDB0005800",0.0999
"HMDB0005801",0.03425
"HMDB0005807",0.004
"HMDB0005809",6.5
"HMDB0005843",0.14
"HMDB0005923",0.2
"HMDB0005949",0.09
"HMDB0005960",0.11
"HMDB0005994",0.22
"HMDB0005998",0.0014
"HMDB0006059",0.001
"HMDB0006088",0.026
"HMDB0006095",0.09
"HMDB0006101",0.01455
"HMDB0006111",0.00642
"HMDB0006112",2.71
"HMDB0006117",1.43
"HMDB0006119",0.011
"HMDB0006219",0.003
"HMDB0006224",0.000023
"HMDB0006245",0.000273
"HMDB0006247",0.0105
"HMDB0006275",0.0265
"HMDB0006317",1.0525
"HMDB0006327",4.23
"HMDB0006335",0.2
"HMDB0006344",10.5715
"HMDB0006372",2
"HMDB0006406",0.237
"HMDB0006461",0.02
"HMDB0006465",0.000305
