"HMDB_accession","Med"
"HMDB0010414",27
"HMDB0010415",20.2
"HMDB0010416",63.6
"HMDB0010417",57.1
"HMDB0010418",36.5
"HMDB0010420",20.2
"HMDB0010421",20.2
"HMDB0010423",79.8
"HMDB0010424",18.9
"HMDB0010425",139.5
"HMDB0010426",27
"HMDB0010427",11.6
"HMDB0010428",63.6
"HMDB0010429",63.6
"HMDB0010430",79.8
"HMDB0010431",29.6
"HMDB0010432",214.8
"HMDB0010434",79.8
"HMDB0010435",79.8
"HMDB0010436",57.1
"HMDB0010437",139.5
"HMDB0010438",139.5
"HMDB0010439",214.8
"HMDB0010440",90.9
"HMDB0010441",53.6
"HMDB0010442",214.8
"HMDB0010443",214.8
"HMDB0010444",90.9
"HMDB0010445",21.5
"HMDB0010446",21.5
"HMDB0010447",69.1
"HMDB0010448",79.8
"HMDB0010449",57.1
"HMDB0010450",32
"HMDB0010451",90.9
"HMDB0010452",69.1
"HMDB0010453",36.5
"HMDB0010454",23.5
"HMDB0010456",68.5
"HMDB0010457",69.1
"HMDB0010458",68.5
"HMDB0010459",53.6
"HMDB0010460",53.6
"HMDB0010470",18.9
"HMDB0010473",32
"HMDB0010474",68.5
"HMDB0010477",53.6
"HMDB0010479",53.6
"HMDB0010481",36.5
"HMDB0010482",36.5
"HMDB0010485",23.5
"HMDB0010491",23.5
"HMDB0010501",36.5
"HMDB0010573",0.604
"HMDB0010574",0.604
"HMDB0010575",0.08
"HMDB0010578",0.338
"HMDB0010579",0.338
"HMDB0010580",0.217
"HMDB0010581",0.191
"HMDB0010582",0.605
"HMDB0010583",0.605
"HMDB0010584",0.919
"HMDB0010587",0.604
"HMDB0010588",0.08
"HMDB0010589",0.08
"HMDB0010593",0.217
"HMDB0010594",0.217
"HMDB0010595",0.351
"HMDB0010596",0.605
"HMDB0010597",0.919
"HMDB0010598",0.919
"HMDB0010601",0.604
"HMDB0010603",1.59
"HMDB0010604",1.59
"HMDB0010605",0.194
"HMDB0010606",0.338
"HMDB0010607",0.338
"HMDB0010610",0.191
"HMDB0010611",0.323
"HMDB0010612",0.159
"HMDB0010613",0.159
"HMDB0010614",0.145
"HMDB0010615",0.604
"HMDB0010616",0.08
"HMDB0010617",1.59
"HMDB0010618",0.194
"HMDB0010619",0.194
"HMDB0010620",0.338
"HMDB0010621",0.217
"HMDB0010622",0.217
"HMDB0010623",0.191
"HMDB0010624",0.191
"HMDB0010625",0.605
"HMDB0010626",0.159
"HMDB0010627",0.145
"HMDB0010628",0.145
"HMDB0010629",0.181
"HMDB0010630",0.604
"HMDB0010631",0.08
"HMDB0010632",1.59
"HMDB0010633",0.194
"HMDB0010634",0.194
"HMDB0010635",0.338
"HMDB0010636",0.217
"HMDB0010637",0.217
"HMDB0010638",0.191
"HMDB0010639",0.191
"HMDB0010640",0.605
"HMDB0010641",0.159
"HMDB0010642",0.145
"HMDB0010643",0.145
"HMDB0010644",0.181
"HMDB0010645",0.08
"HMDB0010647",0.194
"HMDB0010648",0.338
"HMDB0010649",0.338
"HMDB0010650",0.217
"HMDB0010651",0.351
"HMDB0010652",0.351
"HMDB0010653",0.605
"HMDB0010654",0.605
"HMDB0010655",0.919
"HMDB0010656",0.145
"HMDB0010657",0.181
"HMDB0010658",0.181
"HMDB0010659",0.105
"HMDB0010662",0.338
"HMDB0010663",0.217
"HMDB0010664",0.217
"HMDB0010665",0.351
"HMDB0010668",0.919
"HMDB0010669",0.919
"HMDB0010671",0.181
"HMDB0010672",0.105
"HMDB0010673",0.105
"HMDB0010674",0.116
"HMDB0010677",0.338
"HMDB0010678",0.217
"HMDB0010679",0.217
"HMDB0010680",0.351
"HMDB0010683",0.919
"HMDB0010684",0.919
"HMDB0010686",0.181
"HMDB0010687",0.105
"HMDB0010688",0.105
"HMDB0010689",0.116
"HMDB0011119",0.0013
"HMDB0011134",0.0119
"HMDB0011151",11.55
"HMDB0011181",0.57
"HMDB0011201",3.075
"HMDB0011202",0.305
"HMDB0011203",2.99
"HMDB0011206",14.485
"HMDB0011207",11.26
"HMDB0011209",173
"HMDB0011210",173
"HMDB0011211",362.16
"HMDB0011212",13.45
"HMDB0011213",13.45
"HMDB0011214",13.45
"HMDB0011215",2.035
"HMDB0011216",48.95
"HMDB0011217",231.35
"HMDB0011218",117.95
"HMDB0011219",117.95
"HMDB0011221",162.2
"HMDB0011223",2.21
"HMDB0011224",1.23
"HMDB0011226",96
"HMDB0011227",45.2
"HMDB0011229",74.3
"HMDB0011231",0.39
"HMDB0011232",14.485
"HMDB0011234",173
"HMDB0011235",173
"HMDB0011236",14.485
"HMDB0011237",11.26
"HMDB0011240",173
"HMDB0011241",2.035
"HMDB0011242",48.95
"HMDB0011243",48.95
"HMDB0011244",231.35
"HMDB0011245",117.95
"HMDB0011246",117.95
"HMDB0011247",162.2
"HMDB0011248",2.21
"HMDB0011249",1.23
"HMDB0011251",41.7
"HMDB0011252",41.7
"HMDB0011253",96
"HMDB0011254",96
"HMDB0011255",45.2
"HMDB0011257",0.39
"HMDB0011258",0.305
"HMDB0011259",3.075
"HMDB0011260",13.85
"HMDB0011261",13.85
"HMDB0011262",25.2
"HMDB0011263",0.55
"HMDB0011264",0.28
"HMDB0011267",48.95
"HMDB0011268",48.95
"HMDB0011269",11.26
"HMDB0011270",3.18
"HMDB0011272",173
"HMDB0011273",362.16
"HMDB0011274",48.95
"HMDB0011275",231.35
"HMDB0011276",231.35
"HMDB0011277",117.95
"HMDB0011278",162.2
"HMDB0011279",162.2
"HMDB0011280",18.845
"HMDB0011281",1.23
"HMDB0011283",41.7
"HMDB0011284",96
"HMDB0011285",96
"HMDB0011286",45.2
"HMDB0011287",45.2
"HMDB0011288",74.3
"HMDB0011289",0.39
"HMDB0011290",0.305
"HMDB0011291",0.515
"HMDB0011292",13.85
"HMDB0011293",25.2
"HMDB0011294",25.2
"HMDB0011296",0.28
"HMDB0011297",0.2
"HMDB0011298",173
"HMDB0011299",48.95
"HMDB0011300",231.35
"HMDB0011301",231.35
"HMDB0011302",11.26
"HMDB0011303",3.18
"HMDB0011305",173
"HMDB0011306",362.16
"HMDB0011307",48.95
"HMDB0011308",231.35
"HMDB0011309",231.35
"HMDB0011310",117.95
"HMDB0011311",162.2
"HMDB0011312",162.2
"HMDB0011313",18.845
"HMDB0011314",1.23
"HMDB0011316",41.7
"HMDB0011317",96
"HMDB0011318",96
"HMDB0011319",45.2
"HMDB0011320",45.2
"HMDB0011321",74.3
"HMDB0011322",0.39
"HMDB0011323",0.305
"HMDB0011324",0.515
"HMDB0011325",13.85
"HMDB0011326",25.2
"HMDB0011327",25.2
"HMDB0011329",0.28
"HMDB0011330",0.2
"HMDB0011331",173
"HMDB0011332",48.95
"HMDB0011333",231.35
"HMDB0011334",231.35
"HMDB0011537",166
"HMDB0011538",146
"HMDB0011567",170
"HMDB0011568",37.6
"HMDB0011578",4.71
"HMDB0011616",0.026
"HMDB0011623",0.11
"HMDB0011628",0.104
"HMDB0011686",1
"HMDB0011694",36.4
"HMDB0011695",14.5
"HMDB0011696",57.1
"HMDB0011697",14.4
"HMDB0011698",0.14
"HMDB0011699",57.1
"HMDB0011759",0.088
"HMDB0011760",0.261
"HMDB0011761",0.146
"HMDB0011762",0.038
"HMDB0011763",0.038
"HMDB0011764",0.089
"HMDB0011765",0.685
"HMDB0011768",1.22
"HMDB0011769",0.552
"HMDB0011771",0.041
"HMDB0011772",0.031
"HMDB0011773",0.012
"HMDB0011774",0.022
"HMDB0012085",1
"HMDB0012087",13.955
"HMDB0012088",11
"HMDB0012089",11
"HMDB0012090",2.78
"HMDB0012091",3.32
"HMDB0012094",22
"HMDB0012095",57.1
"HMDB0012097",9.17
"HMDB0012100",10.9
"HMDB0012101",10.8
"HMDB0012102",9.98
"HMDB0012103",9.98
"HMDB0012104",15.7
"HMDB0012105",7
"HMDB0012107",33
"HMDB0012108",1.11
"HMDB0012252",13.7
"HMDB0012275",0
"HMDB0012308",5.137
"HMDB0012328",1.97
"HMDB0012335",0.239
"HMDB0012345",0.239
"HMDB0012355",0.239
"HMDB0012356",0.307
"HMDB0012357",0.186
"HMDB0012358",0.151
"HMDB0012360",0.123
"HMDB0012361",0.179
"HMDB0012362",0.162
"HMDB0012365",0.239
"HMDB0012367",0.186
"HMDB0012368",0.151
"HMDB0012371",0.179
"HMDB0012375",0.239
"HMDB0012376",0.307
"HMDB0012377",0.186
"HMDB0012378",2.09
"HMDB0012380",0.316
"HMDB0012381",0.123
"HMDB0012382",0.194
"HMDB0012383",0.481
"HMDB0012385",0.239
"HMDB0012387",0.186
"HMDB0012388",0.151
"HMDB0012389",0.733
"HMDB0012390",0.316
"HMDB0012391",0.123
"HMDB0012392",0.179
"HMDB0012393",0.481
"HMDB0012394",0.281
"HMDB0012395",0.169
"HMDB0012398",0.151
"HMDB0012400",0.316
"HMDB0012401",0.123
"HMDB0012402",0.179
"HMDB0012404",0.281
"HMDB0012405",0.162
"HMDB0012411",0.123
"HMDB0012412",0.179
"HMDB0012415",0.162
"HMDB0012420",0.123
"HMDB0012421",0.179
"HMDB0012422",0.194
"HMDB0012423",0.481
"HMDB0012424",0.281
"HMDB0012425",0.162
"HMDB0012426",0.637
"HMDB0012427",0.169
"HMDB0012431",0.179
"HMDB0012433",0.481
"HMDB0012434",0.281
"HMDB0012435",0.162
"HMDB0012437",0.169
"HMDB0012442",0.162
"HMDB0012444",0.637
"HMDB0012445",0.169
"HMDB0012454",0.1
"HMDB0012535",0.00203
"HMDB0012598",0.000113
"HMDB0012611",0.000138
"HMDB0013078",15
"HMDB0013122",0.067
"HMDB0013124",0.04
"HMDB0013125",0.02
"HMDB0013126",0.01
"HMDB0013127",0.103
"HMDB0013128",0.235
"HMDB0013129",0.0125
"HMDB0013130",0.015
"HMDB0013132",0.065
"HMDB0013133",0.11
"HMDB0013161",0.01
"HMDB0013198",0.0345
"HMDB0013205",0.17
"HMDB0013207",0.03
"HMDB0013222",0.0252
"HMDB0013231",0.57
"HMDB0013288",0.03
"HMDB0013324",0.2
"HMDB0013326",0.11
"HMDB0013327",0.19
"HMDB0013328",0.0325
"HMDB0013330",0.015
"HMDB0013331",0.012
"HMDB0013333",0
"HMDB0013334",0.009
"HMDB0013335",0
"HMDB0013336",0.005
"HMDB0013338",0.11
"HMDB0013339",0
"HMDB0013341",0.52
"HMDB0013402",0.02
"HMDB0013404",2.64
"HMDB0013405",0.995
"HMDB0013406",0.74
"HMDB0013407",13.3
"HMDB0013408",1.28
"HMDB0013409",6.02
"HMDB0013410",0.085
"HMDB0013411",0.58
"HMDB0013412",8.24
"HMDB0013413",9.22
"HMDB0013414",5.39
"HMDB0013415",10.67
"HMDB0013416",0.65
"HMDB0013417",0.75
"HMDB0013418",13.63
"HMDB0013419",1.915
"HMDB0013420",9.69
"HMDB0013422",3.07
"HMDB0013423",0.56
"HMDB0013424",9.25
"HMDB0013425",8.51
"HMDB0013426",9.25
"HMDB0013427",7.57
"HMDB0013428",14.07
"HMDB0013429",8.55
"HMDB0013430",0.8
"HMDB0013431",1.96
"HMDB0013432",14.4
"HMDB0013433",0.89
"HMDB0013434",0.34
"HMDB0013435",17
"HMDB0013436",1.97
"HMDB0013437",1.13
"HMDB0013438",0.395
"HMDB0013439",3.6
"HMDB0013440",4
"HMDB0013442",1.835
"HMDB0013443",0.57
"HMDB0013444",2.83
"HMDB0013445",1.125
"HMDB0013446",1.09
"HMDB0013447",0.375
"HMDB0013448",0.54
"HMDB0013449",0.12
"HMDB0013450",0.77
"HMDB0013451",1.45
"HMDB0013452",0.12
"HMDB0013453",0.39
"HMDB0013454",0.65
"HMDB0013455",0.395
"HMDB0013456",0.98
"HMDB0013457",0.94
"HMDB0013458",0.6
"HMDB0013459",0.72
"HMDB0013460",0.395
"HMDB0013461",0.216
"HMDB0013462",2.44
"HMDB0013463",2.47
"HMDB0013464",12.3
"HMDB0013465",0.275
"HMDB0013466",5.9
"HMDB0013467",4.8
"HMDB0013468",0
"HMDB0013469",0.97
"HMDB0013470",0.0000027
"HMDB0013471",0.00000835
"HMDB0013620",0.0001
"HMDB0013621",0.0003035
"HMDB0013622",0.646
"HMDB0013623",0.00349
"HMDB0013624",0.118
"HMDB0013625",1.01
"HMDB0013626",1.63
"HMDB0013627",0.401
"HMDB0013628",0.0173
"HMDB0013629",0.161
"HMDB0013630",0.0208
"HMDB0013631",21
"HMDB0013633",0.0001
"HMDB0013643",0.0345
"HMDB0013669",0.0041
"HMDB0013671",0.0000087
"HMDB0013672",0.000093
"HMDB0013676",0.0115
"HMDB0013677",0.091
"HMDB0013715",0.000042
"HMDB0013724",0.001085
"HMDB0014575",0.00105
"HMDB0015531",10.744
"HMDB0015532",12.85
"HMDB0029147",3
"HMDB0029205",0.365
"HMDB0029206",0.265
"HMDB0029216",16.6
"HMDB0029220",0.11
"HMDB0029221",0.36
"HMDB0029273",0.136
"HMDB0029306",1.532
"HMDB0029596",0.00008253
"HMDB0029666",0.1085
"HMDB0030254",0.0145
"HMDB0030956",0.01845
"HMDB0030961",0.21
"HMDB0031035",0.0171
"HMDB0031269",0.13
"HMDB0031330",0.000065
"HMDB0031475",0.45
"HMDB0031496",0.23
"HMDB0031934",0.000503
"HMDB0032566",0.00025
"HMDB0032604",0.626
"HMDB0032606",0.094
"HMDB0033182",0.000166
"HMDB0033827",0.16
"HMDB0033844",0.181
"HMDB0034168",0.001395
"HMDB0034240",0.000432
"HMDB0034259",36.61
"HMDB0034315",0.564
"HMDB0034369",0.000316
"HMDB0035159",11.722
"HMDB0037547",0.00027
"HMDB0038485",0.007
"HMDB0038524",0.01065
"HMDB0038530",0.006
"HMDB0041014",0.1
"HMDB0041662",0.0305
"HMDB0041683",0.18
"HMDB0041822",30.32
"HMDB0041827",31
"HMDB0041971",0.000578
"HMDB0041980",0.000302
"HMDB0059570",0.00011
"HMDB0059571",0.00007
"HMDB0059573",0.00004
"HMDB0059586",0.0194
"HMDB0059587",0.007255
"HMDB0059655",1.1
"HMDB0059810",0.0012
"HMDB0059835",0.26
"HMDB0059851",0.0003295
"HMDB0059905",0.000339
"HMDB0060037",0.000075
"HMDB0060038",1.03
"HMDB0060039",0.341
"HMDB0060040",0.000175
"HMDB0060041",0.00013
"HMDB0060042",0.000053
"HMDB0060043",0.000172
"HMDB0060044",0.00164
"HMDB0060045",0.000026
"HMDB0060046",0.00194
"HMDB0060047",0.000202
"HMDB0060048",0.000228
"HMDB0060049",0.0053
"HMDB0060050",0.000131
"HMDB0060051",0.000294
"HMDB0060052",0.000123
"HMDB0060053",0.000066
"HMDB0060054",0.000039
"HMDB0060055",0.00031
"HMDB0060056",30
"HMDB0060057",30
"HMDB0060058",31
"HMDB0060059",32
"HMDB0060060",31
"HMDB0060061",0.0033
"HMDB0060062",0.0045
"HMDB0060524",0.066
"HMDB0061112",9.79
"HMDB0061189",0.31
"HMDB0061196",0.000386
"HMDB0061385",0.002765
"HMDB0061652",20
"HMDB0061732",0.00000818
"HMDB0061733",0.00000357
"HMDB0061738",0.000562
"HMDB0061739",0.003135
"HMDB0061740",0.000703
"HMDB0061741",0.00108
"HMDB0061742",0.000333
"HMDB0061743",0.000323
"HMDB0061749",0.0000687
"HMDB0061755",39.79
"HMDB0061921",0.00043
"HMDB0062089",0.0000062
"HMDB0062121",0.0006
"HMDB0062436",11.722
"HMDB0062703",2090
"HMDB0094687",0.14
"HMDB0094700",0.004545
"HMDB0240212",0.0451
"HMDB0240296",0.26
